"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"202","Other Enterovirus",2,4,197,5,5,1,3,3,6,4,0,7,4,2,4,4,6,2,1,2,3,7,1,0,16
"203","Other Flaviviridae",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"204","Other Gammaretrovirus",0,0,0,4,0,0,2,0,1,0,2181,1,0,1,0,5,0,6,0,0,3,1,0,0,0
"205","Other Herpesviridae",0,0,116,0,3,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,1,0
"206","Other L5likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"207","Other Lentivirus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"208","Other Lymphocryptovirus",131,12,157496,12,16,12,12,200,12,234,17,8,18,405,19,3,11,0,16,8,3,8,14,6,0
"209","Other Mastadenovirus",0,2,0,4,1,2,1,0,1,4,0,2,1,1,5,2,0,15,0,4,1,1,4,2,0
"210","Other Mimiviridae",2,0,0,1,0,0,0,2,1,0,0,0,0,7,0,0,0,0,39,0,0,0,1,2,0
"211","Other Myoviridae",529,0,0,0,0,0,88,21,1,0,0,0,2,4,0,0,2,26,2,0,5,41,0,47,0
"212","Other Papillomaviridae",229,301,20,17,30,1457,2094,489,1261,48,32,45,171966,449,80,32,74240,728,53,73932,120,101030,62,18,17
"213","Other Phages",46,0,0,0,0,0,5,5,7,22,23,0,56,1,0,0,0,78,2,0,3,61,0,0,0
"214","Other Phycodnaviridae",0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"215","Other Podoviridae",1,0,1,1,1,2,1,2,2,2,2459,1,2,1,0,1,4,1,9,3,1,6,0,1,4
"216","Other Ranavirus",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
"217","Other Roseolovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"218","Other Siphoviridae",390,308,0,112,314,361,12,349,163,336,41,7,82,666,24,1963,130,10103,2964,104,356,35,1,5,0
"219","Other ssDNA Viruses",0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","Other T7likevirus",0,1,0,2,3,1,1,2,0,1,1,0,2,0,1,41,1,27,85,2,3,7,0,0,1
"221","Other Tobamovirus",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","Other Viruses",13,0,0,9,45,133,0,34,21,40,14,1,4,8,0,263,30,2633,446,12,0,0,0,36,0
"223","Ovine herpesvirus 2",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
"224","Paenibacillus phage PG1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"225","Pandoravirus dulcis",0,1,0,0,1,0,36,0,1,1,0,0,0,0,3,0,1,0,2,21,1,0,4,3,0
"226","Pandoravirus inopinatum",0,0,0,0,14,0,0,0,0,0,1,1,0,1,2,0,1,0,42,1,1,3,2,3,0
"227","Pandoravirus salinus",3,15,4,3,12,7,1,3,8,5,18,17,7,0,18,6,10,5,10,143,16,0,28,1,0
"228","Papiine herpesvirus 1",0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","Papio hamadryas papillomavirus type 1",0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,0,2,1,1058,0,0,0
"230","Paramecium bursaria Chlorella virus A1",2,0,0,0,13,0,0,2,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
"231","Paramecium bursaria Chlorella virus AP110A",19,0,0,0,1,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0
"232","Paramecium bursaria Chlorella virus CVB-1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233","Paramecium bursaria Chlorella virus CvsA1",0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0
"234","Pectobacterium phage My1",0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"235","Pectobacterium phage ZF40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"236","Peromyscus papillomavirus type 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0
"237","Phaeocystis globosa virus",3,6,2,4,9,2,0,5,8,0,0,3,3,0,10,0,1,4,1,5,0,1,13,0,3
"238","Phaeocystis globosa virus 12T",0,1,1,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0
"239","Phage SK137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,1
"240","Phthorimaea operculella granulovirus",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Pigeon aviadenovirus A",0,3,0,8,40,8,0,4,2,4,0,7,1,0,5,4,13,7,3,12,2,0,13,0,98
"242","Pithovirus sibericum",0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"243","Polaribacter phage P12002L",0,0,0,0,0,0,0,7,0,0,0,0,9,893,0,0,0,0,0,0,0,0,0,0,0
"244","Porcine mastadenovirus A",0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245","Porcine stool-associated circular virus 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"246","Prochlorococcus phage P-SSM7",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247","Propionibacterium phage PHL041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
"248","Proteus phage pPM_01",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,2
"249","Pseudocowpox virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"250","Pseudomonas phage AF",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"251","Pseudomonas phage B3",0,0,0,0,13,0,0,0,2,0,1,0,4,7,0,53,0,12,0,0,0,0,0,0,0
"252","Pseudomonas phage KPP23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"253","Pseudomonas phage PaBG",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"254","Pseudomonas phage Phi-S1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0
"255","Pseudomonas phage phi15",2,0,0,0,4,2,0,0,6,0,1,0,1,0,0,3,2,1,10,1,0,10,0,0,9
"256","Pseudomonas phage phiIBB-PF7A",0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0
"257","Pseudomonas phage PhiPA3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
"258","Pseudomonas phage phiPSA1",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259","Pseudomonas phage PPpW-4",5,1,0,0,13,8,3,24,9,3,2,1,0,6,1,125,0,17,147,3,0,49,2,1,119
"260","Pseudomonas phage tf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"261","Pseudomonas phage vB_PaeP_Tr60_Ab31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"262","Ralstonia phage RSB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"263","Rhizobium phage vB_RglS_P106B",1,0,0,1,7,3,0,3,5,32,0,0,10,1,0,71,0,15,92,0,0,0,0,0,0
"264","Rhizobium phage vB_RleM_P10VF",0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0
"265","Rhodococcus phage REQ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"266","Rhodococcus phage ReqiPoco6",11,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,0,0,7,0,0,0,0
"267","Rhodoferax phage P26218",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
"268","Salmonella phage 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"269","Simian adenovirus B",0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,1,6,0,0,0,1,1,0,0
"270","Simian immunodeficiency virus",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","Siphovirus contig89",723,0,0,0,0,1,0,0,0,4,0,0,1,129,0,0,3,0,219,0,26,0,0,0,0
"272","Spodoptera frugiperda granulovirus",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"273","Spodoptera frugiperda multiple nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,1
"274","Spodoptera littoralis nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"275","Spodoptera litura granulovirus",0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"276","Spodoptera litura nucleopolyhedrovirus II",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277","Staphylococcus phage 2638A",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"278","Staphylococcus phage 29",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279","Staphylococcus phage 37",4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,1,23,0
"280","Staphylococcus phage 47",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281","Staphylococcus phage 6ec",0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"282","Staphylococcus phage IME-SA4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"283","Staphylococcus phage Ipla5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"284","Staphylococcus phage StB20",1,0,0,0,0,0,0,98,0,0,0,0,0,3,0,0,0,1,0,0,0,25,0,0,0
"285","Staphylococcus virus G1",5,4,1,6,22,1,0,2,2,0,1,12,4,1,7,0,13,6,3,24,1,1,26,1,1
"286","Streptococcus phage 20617",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
"287","Streptococcus phage 5093",0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,11189,0,2,0,0,1,0,0
"288","Streptococcus phage 700P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0
"289","Streptococcus phage 7201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
"290","Streptococcus phage 858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,1
"291","Streptococcus phage Abc2",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"292","Streptococcus phage Alq132",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
"293","Streptococcus phage DT1",0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,10,31,0,0,0,0,0,0,1
"294","Streptococcus phage EJ-1",5,0,0,0,0,0,0,1,0,0,462,2,2,27,0,0,0,7781,1,0,0,7,0,0,0
"295","Streptococcus phage M102",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"296","Streptococcus phage O1205",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0
"297","Streptococcus phage PH10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"298","Streptococcus phage PH15",0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,2,4634,0,0,0,0,0,0,0
"299","Streptococcus phage phi30c",4,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,340,0,1,0,34,0,1,0
"300","Streptococcus phage phi5218",0,0,0,0,0,0,0,195,0,0,13,0,0,0,0,0,0,98,0,0,0,0,0,1,0
"301","Streptococcus phage phiD12",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302","Streptococcus phage phiNJ2",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0
"303","Streptococcus phage phiS10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"304","Streptococcus phage phiSS12",5,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0,5,0,0,0
"305","Streptococcus phage SMP",0,0,0,0,1,0,0,0,0,0,13,1,16,0,0,0,0,5,0,0,0,0,0,0,0
"306","Streptococcus phage SpSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"307","Streptococcus phage Str-PAP-1",30,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308","Streptococcus phage TP-J34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0
"309","Streptococcus phage YMC-2011",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2996,0,0,0,0,0,2,0
"310","Streptomyces phage phiCAM",0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"311","Suid herpesvirus 1",0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"312","Sulfolobales Mexican fusellovirus 1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"313","Synechococcus phage ACG-2014c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"314","Synechococcus phage ACG-2014f",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"315","Synechococcus phage S-SKS1",0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316","Synechococcus phage Syn19",1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"317","Thermoanaerobacterium phage THSA-485A",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318","Thermoproteus tenax virus 1",24,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,2,0,0
"319","Torque teno midi virus",0,0,0,0,0,7,0,0,0,0,0,1,0,3,0,0,0,0,8,0,0,0,0,0,0
"320","Torque teno virus",1,0,0,0,22,0,0,34,4,1,0,0,12,18,0,0,21,6,0,0,19,0,30,16,0
"321","Torque teno virus 10",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"322","Torque teno virus 11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"323","TTV-like mini virus",0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,59,11,0,0,1,0
"324","Tuber aestivum virus 1",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325","Tupaiid herpesvirus 1",1,0,0,0,0,0,0,0,1,9,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0
"326","uncultured marine virus",6,1,0,5,2,1,18,12,1,0,3,4,40,4780,3,0,4,0,0,0,0,9,1,11,0
"327","uncultured phage crAssphage",0,0,0,0,0,0,0,0,32,40,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"328","Upsilonpapillomavirus 1",0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1
"329","Verrucomicrobia phage P8625",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0
"330","Verticillium dahliae chrysovirus 1",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","Vibrio phage henriette 12B8",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","Vibrio phage jenny 12G5",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333","Vibrio phage martha 12B12",0,0,0,0,3,12,1,0,1,36,0,0,2,0,0,111,2,6,491,2,0,0,0,0,0
"334","Vibrio phage VD1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"335","Vibrio phage X29",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"336","White spot syndrome virus",1,0,0,0,1,12,0,0,1,7,1,0,0,1,0,0,0,50,0,1,0,0,5,0,0
"337","Wuhan Ant Virus",0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"338","Yersinia phage phiR1-37",2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"339","Yersinia phage PY54",0,1,0,4,0,2,0,1,3,0,0,0,1,0,0,0,0,0,56,1,0,0,0,0,0
