"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"232","Streptococcus phage phi5218",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"233","Streptococcus phage SPQS1",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","Sulfolobales Mexican fusellovirus 1",0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0
"235","Synechococcus phage ACG-2014c",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"236","Synechococcus phage S-CBS3",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"237","Thermoproteus tenax virus 1",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,1
"238","Thin paspalum asymptomatic virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"239","Tobacco mosaic virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"240","Tomato mosaic virus",0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Tomato mottle mosaic virus",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Torque teno midi virus",0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"243","Torque teno mini virus 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"244","Torque teno virus",6,1,0,1,17,25,1,5,0,1,0,0,1,0,0,218,0,0,0,0,0
"245","TTV-like mini virus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"246","Tupaiid herpesvirus 1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1
"247","uncultured marine virus",8,8,1,0,0,2,0,0,0,0,1,0,2,0,0,25,1,0,1,1,1
"248","Upsilonpapillomavirus 1",1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"249","Vibrio phage phi 3",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"250","Vibrio phage VD1",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251","White spot syndrome virus",0,0,7,4,2,4,8,5,0,4,0,0,3,0,0,19,2,0,0,1,0
"252","Yersinia phage phiR1-37",0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,1,2,0,0,0,0
